Linux 6.17.0-1020-gcp (neo4j-baseline-16) 	07/04/26 	_x86_64_	(16 CPU)

23:50:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:50:16        all      0.04      0.00      0.05      0.00      0.00     99.91
23:50:21        all     25.09      0.00      0.83      0.00      0.00     74.08
23:50:26        all      0.04      0.00      0.04      0.00      0.00     99.93
23:50:31        all      5.04      0.00      0.10      0.00      0.00     94.86
23:50:36        all     19.64      0.00      1.13      0.06      0.00     79.16
23:50:41        all      0.07      0.00      0.01      0.00      0.00     99.91
Average:        all      8.30      0.00      0.36      0.01      0.00     91.33

23:50:11    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
23:50:16     52285280  60638228   4314628      6.55     75508   8719476   4864696      7.39   4101156   8556332       372
23:50:21     52111740  60464732   4487988      6.82     75508   8719496   4960928      7.53   4240528   8556376       240
23:50:26     52122504  60475496   4477208      6.80     75508   8719512   4960928      7.53   4240508   8556376       256
23:50:31     52123072  60476100   4476620      6.80     75508   8719532   4965696      7.54   4280216   8556412       276
23:50:36     52112004  60465156   4487500      6.82     75508   8719656   5018392      7.62   4311332   8556536     11684
23:50:41     52117780  60470944   4481704      6.81     75508   8719676   5035364      7.65   4311428   8556548     11656
Average:     52145397  60498443   4454275      6.77     75508   8719558   4967667      7.55   4247528   8556430      4081

23:50:11          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
23:50:16        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:16        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:16        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:16        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:16          sda      7.80      0.00    616.00      0.00     78.97      0.01      1.36      0.14
23:50:16         sda1      7.80      0.00    616.00      0.00     78.97      0.01      1.38      0.14
23:50:16        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:16        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:16        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21          sda     16.20      0.00     72.80      0.00      4.49      0.01      0.33      0.48
23:50:21         sda1     16.20      0.00     72.80      0.00      4.49      0.01      0.33      0.48
23:50:21        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:21        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:26        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31          sda      3.60      0.00     10.40      0.00      2.89      0.00      0.28      0.14
23:50:31         sda1      3.60      0.00     10.40      0.00      2.89      0.00      0.28      0.14
23:50:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36          sda     60.20      0.00    622.40      0.00     10.34      0.09      1.43      0.86
23:50:36         sda1     60.20      0.00    622.40      0.00     10.34      0.09      1.43      0.86
23:50:36        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:36        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41          sda      1.20      0.00      8.00      0.00      6.67      0.00      0.67      0.00
23:50:41         sda1      1.20      0.00      8.00      0.00      6.67      0.00      0.67      0.00
23:50:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
23:50:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:          sda     14.83      0.00    221.60      0.00     14.94      0.02      1.17      0.27
Average:         sda1     14.83      0.00    221.60      0.00     14.94      0.02      1.17      0.27
Average:        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
