run,cores,variant,location,load,query,count,mean_ms,p50_ms,p90_ms,p95_ms,p99_ms
ResultsRun1,2,baseline,local,high,LdbcQuery1,25,64.2,66,125,141,187
ResultsRun1,2,baseline,local,high,LdbcQuery10,22,477.77272727272725,466,582,622,623
ResultsRun1,2,baseline,local,high,LdbcQuery11,41,52.4390243902439,47,95,104,130
ResultsRun1,2,baseline,local,high,LdbcQuery12,15,492.0,454,681,681,784
ResultsRun1,2,baseline,local,high,LdbcQuery13,35,5.114285714285714,4,9,9,22
ResultsRun1,2,baseline,local,high,LdbcQuery14,13,821.3076923076923,740,1571,1571,1883
ResultsRun1,2,baseline,local,high,LdbcQuery2,18,84.61111111111111,44,120,124,671
ResultsRun1,2,baseline,local,high,LdbcQuery3,10,3169.1,3009,3215,5280,5280
ResultsRun1,2,baseline,local,high,LdbcQuery4,19,35.0,28,58,75,135
ResultsRun1,2,baseline,local,high,LdbcQuery5,11,2301.818181818182,2660,3297,3297,3334
ResultsRun1,2,baseline,local,high,LdbcQuery6,5,2954.6,2266,5427,5427,5427
ResultsRun1,2,baseline,local,high,LdbcQuery7,8,95.875,62,109,285,285
ResultsRun1,2,baseline,local,high,LdbcQuery8,15,3.8666666666666667,3,9,9,11
ResultsRun1,2,baseline,local,high,LdbcQuery9,4,3473.5,3455,3695,3695,3695
ResultsRun1,2,baseline,local,high,LdbcShortQuery1PersonProfile,279,2.5017921146953404,2,5,5,11
ResultsRun1,2,baseline,local,high,LdbcShortQuery2PersonPosts,279,6.645161290322581,4,12,18,39
ResultsRun1,2,baseline,local,high,LdbcShortQuery3PersonFriends,279,4.103942652329749,3,8,11,23
ResultsRun1,2,baseline,local,high,LdbcShortQuery4MessageContent,282,2.624113475177305,2,5,6,11
ResultsRun1,2,baseline,local,high,LdbcShortQuery5MessageCreator,282,2.2056737588652484,1,4,6,10
ResultsRun1,2,baseline,local,high,LdbcShortQuery6MessageForum,282,2.280141843971631,1,4,6,15
ResultsRun1,2,baseline,local,high,LdbcShortQuery7MessageReplies,282,2.521276595744681,2,5,6,12
ResultsRun1,2,baseline,local,high,LdbcUpdate2AddPostLike,88,11.261363636363637,8,14,20,30
ResultsRun1,2,baseline,local,high,LdbcUpdate3AddCommentLike,121,8.545454545454545,7,12,16,35
ResultsRun1,2,baseline,local,high,LdbcUpdate4AddForum,7,10.285714285714286,10,12,17,17
ResultsRun1,2,baseline,local,high,LdbcUpdate5AddForumMembership,297,10.084175084175085,8,17,21,37
ResultsRun1,2,baseline,local,high,LdbcUpdate6AddPost,59,11.711864406779661,10,17,18,29
ResultsRun1,2,baseline,local,high,LdbcUpdate7AddComment,94,12.26595744680851,11,19,23,28
ResultsRun1,2,baseline,local,high,LdbcUpdate8AddFriendship,12,9.333333333333334,8,17,17,18
ResultsRun1,2,baseline,remote,low,LdbcQuery1,2,189.5,127,252,252,252
ResultsRun1,2,baseline,remote,low,LdbcQuery10,2,653.0,636,670,670,670
ResultsRun1,2,baseline,remote,low,LdbcQuery11,4,71.75,70,78,78,78
ResultsRun1,2,baseline,remote,low,LdbcQuery12,2,682.5,439,926,926,926
ResultsRun1,2,baseline,remote,low,LdbcQuery13,4,51.25,48,62,62,62
ResultsRun1,2,baseline,remote,low,LdbcQuery14,1,1192.0,1192,1192,1192,1192
ResultsRun1,2,baseline,remote,low,LdbcQuery2,1,143.0,143,143,143,143
ResultsRun1,2,baseline,remote,low,LdbcQuery3,1,2260.0,2260,2260,2260,2260
ResultsRun1,2,baseline,remote,low,LdbcQuery4,1,212.0,212,212,212,212
ResultsRun1,2,baseline,remote,low,LdbcQuery5,1,676.0,676,676,676,676
ResultsRun1,2,baseline,remote,low,LdbcQuery7,1,350.0,350,350,350,350
ResultsRun1,2,baseline,remote,low,LdbcQuery8,2,181.0,41,321,321,321
ResultsRun1,2,baseline,remote,low,LdbcShortQuery1PersonProfile,26,54.19230769230769,43,88,91,95
ResultsRun1,2,baseline,remote,low,LdbcShortQuery2PersonPosts,26,58.92307692307692,53,91,102,105
ResultsRun1,2,baseline,remote,low,LdbcShortQuery3PersonFriends,26,52.84615384615385,45,64,88,102
ResultsRun1,2,baseline,remote,low,LdbcShortQuery4MessageContent,24,49.833333333333336,43,65,67,100
ResultsRun1,2,baseline,remote,low,LdbcShortQuery5MessageCreator,24,51.583333333333336,42,77,87,95
ResultsRun1,2,baseline,remote,low,LdbcShortQuery6MessageForum,24,52.166666666666664,49,66,78,102
ResultsRun1,2,baseline,remote,low,LdbcShortQuery7MessageReplies,23,57.26086956521739,61,90,99,102
