Linux 6.17.0-1020-gcp (neo4j-baseline-4) 	07/05/26 	_x86_64_	(4 CPU)

00:43:21        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:43:26        all      0.15      0.00      0.15      0.00      0.00     99.70
00:43:31        all     81.13      0.00      2.11      0.05      0.00     16.71
00:43:36        all      1.20      0.00      0.10      0.00      0.00     98.70
00:43:41        all      0.30      0.00      0.10      0.00      0.00     99.60
00:43:46        all     79.58      0.00      3.21      0.05      0.00     17.16
00:43:51        all     17.59      0.00      1.30      0.00      0.00     81.11
Average:        all     29.96      0.00      1.16      0.02      0.00     68.86

00:43:21    kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
00:43:26      4896932  13650092   2280640     13.93     93232   8718152   2770660     16.92   2266780   8572184      3116
00:43:31      4814484  13567652   2362956     14.43     93232   8718160   2844068     17.37   2362020   8572192      3124
00:43:36      4853084  13606260   2324348     14.20     93232   8718168   2844456     17.37   2339008   8572200      3132
00:43:41      4862924  13616100   2314504     14.14     93232   8718172   2844520     17.38   2339008   8572200      3136
00:43:46      4831340  13584608   2346000     14.33     93232   8718260   2854616     17.44   2372244   8572292     22336
00:43:51      4826780  13580148   2350460     14.36     93236   8718356   2856424     17.45   2373936   8572392     29476
Average:      4847591  13600810   2329818     14.23     93233   8718211   2835791     17.32   2342166   8572243     10720

00:43:21          DEV       tps     rkB/s     wkB/s     dkB/s   areq-sz    aqu-sz     await     %util
00:43:26        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:26        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:26        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:26        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:26          sda      0.20      0.00     29.60      0.00    148.00      0.00      1.00      0.02
00:43:26         sda1      0.20      0.00     29.60      0.00    148.00      0.00      1.00      0.02
00:43:26        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:26        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:26        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31          sda     14.80      0.00     40.00      0.00      2.70      0.01      0.38      0.54
00:43:31         sda1     14.80      0.00     40.00      0.00      2.70      0.01      0.38      0.54
00:43:31        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:31        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36          sda      0.80      0.00      2.40      0.00      3.00      0.00      0.50      0.02
00:43:36         sda1      0.80      0.00      2.40      0.00      3.00      0.00      0.50      0.02
00:43:36        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:36        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41          sda      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41         sda1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        sda14      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        sda15      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:41        sda16      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:46        loop0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:46        loop1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:46        loop2      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:46        loop3      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
00:43:46          sda     25.20      0.00     71.20      0.00      2.83      0.01      0.37      0.66
